id,name,disease,crop,dosage,notes,legal_status,safety_warning
1,NPK 20-20-20,late_blight,tomato,25g/plant,"General purpose balanced fertilizer. Apply every 2 weeks during growing season.",OK,"Wear gloves during application. Keep away from children."
2,Copper Fungicide,late_blight,tomato,2-3 tbsp/gallon,"Mix with water and spray on affected plants. Apply every 7-10 days.",OK,"Avoid contact with skin. Wash hands after use."
3,Neem Oil,late_blight,tomato,10ml/L,"Organic fungicide. Spray on leaves in evening. Repeat weekly.",OK,"Safe for organic farming. May cause skin irritation."
4,Bordeaux Mixture,late_blight,tomato,50g/10L,"Copper-based fungicide. Mix thoroughly before application.",OK,"Do not apply during flowering. Wear protective gear."
5,Chlorothalonil,late_blight,tomato,1.5ml/L,"Broad spectrum fungicide. Apply preventively every 7-14 days.",RESTRICTED,"Use only as directed. Requires license in some regions."
6,Mancozeb,early_blight,tomato,2g/L,"Contact fungicide. Apply at first sign of disease.",OK,"Avoid inhalation. Use in well-ventilated area."
7,NPK 15-15-15,early_blight,tomato,30g/plant,"Balanced fertilizer to strengthen plant immunity.",OK,"Apply at soil level. Water after application."
8,Baking Soda Spray,early_blight,tomato,1 tbsp/gallon,"Organic solution. Mix with water and dish soap. Spray weekly.",OK,"Completely safe. Food-grade only."
9,Compost Tea,healthy,tomato,1 cup/plant,"Organic nutrient solution. Dilute 1:10 with water.",OK,"Safe for all plants. Enhances soil health."
10,Fish Emulsion,healthy,tomato,1 tbsp/gallon,"Organic nitrogen source. Apply every 2-3 weeks.",OK,"Strong odor. Apply in morning or evening."
11,Seaweed Extract,healthy,tomato,5ml/L,"Growth stimulant. Rich in micronutrients.",OK,"Safe and organic. Enhances disease resistance."
12,Potassium Phosphate,bacterial_spot,tomato,2g/L,"Strengthens cell walls. Preventive measure.",OK,"Mix well before application."
13,Copper Soap,bacterial_spot,tomato,15ml/L,"Organic bactericide. Apply every 5-7 days.",OK,"Avoid using on hot days. May cause leaf burn."
14,Streptomycin,bacterial_spot,tomato,100ppm,"Antibiotic spray. Use only when necessary.",RESTRICTED,"Prescription required in many regions. Use sparingly."
15,NPK 10-20-20,leaf_mold,tomato,20g/plant,"High phosphorus for root and fruit development.",OK,"Apply at planting and during fruiting."
16,Sulfur Fungicide,leaf_mold,tomato,3g/L,"Organic fungicide. Good for humid conditions.",OK,"Do not apply when temp > 90°F. May harm beneficial insects."
17,Calcium Chloride,blossom_end_rot,tomato,1g/L,"Foliar spray to correct calcium deficiency.",OK,"Apply in evening. Repeat every 10 days."
18,Gypsum,blossom_end_rot,tomato,100g/plant,"Soil amendment for calcium. Apply at planting.",OK,"Safe for organic farming. Improves soil structure."
19,NPK 5-10-10,potato_early_blight,potato,40g/plant,"Lower nitrogen to reduce foliage. More phosphorus.",OK,"Apply at planting and tuber formation."
20,Azoxystrobin,potato_late_blight,potato,1ml/L,"Systemic fungicide. Highly effective.",RESTRICTED,"Professional use recommended. Follow label strictly."
21,Copper Hydroxide,potato_late_blight,potato,2g/L,"Preventive fungicide. Apply before disease appears.",OK,"Organic approved. May stain surfaces."
22,Calcium Nitrate,healthy,potato,20g/plant,"Strengthens cell walls. Improves storage quality.",OK,"Dissolve in water before application."
23,Kelp Meal,healthy,potato,50g/plant,"Slow release organic fertilizer. Rich in potassium.",OK,"Apply at planting. Enhances stress tolerance."
24,Propiconazole,common_rust,corn,1ml/L,"Systemic fungicide for rust diseases.",RESTRICTED,"Agricultural license may be required."
25,NPK 12-12-12,common_rust,corn,30g/plant,"Balanced nutrition to improve resistance.",OK,"Split application: half at planting, half at tasseling."
26,Trichoderma,healthy,corn,5g/L,"Beneficial fungus. Protects against pathogens.",OK,"Organic and safe. Apply to soil or seed."
27,Zinc Sulfate,healthy,corn,1g/L,"Micronutrient for healthy growth. Foliar spray.",OK,"Essential in alkaline soils."
28,Myclobutanil,grape_black_rot,grape,1ml/L,"Systemic fungicide. Apply from bloom to 6 weeks after.",RESTRICTED,"Follow local regulations."
29,Lime Sulfur,grape_black_rot,grape,10ml/L,"Dormant spray. Apply before bud break.",OK,"Strong odor. Wear respirator."
30,Captan,apple_scab,apple,2g/L,"Preventive fungicide. Start at bud break.",OK,"Repeat every 7-14 days during wet weather."
31,NPK 8-8-8,healthy,apple,50g/tree,"Low analysis fertilizer. Safe for fruit trees.",OK,"Apply in early spring and after harvest."
32,Dormant Oil,healthy,apple,20ml/L,"Suffocates overwintering pests and diseases.",OK,"Apply in late winter before buds open."
33,Acephate,pepper_bacterial_spot,pepper,1g/L,"Insecticide/fungicide. Controls multiple pests.",RESTRICTED,"Do not apply near harvest. Observe waiting period."
34,NPK 5-10-5,healthy,pepper,25g/plant,"Encourages flowering and fruiting.",OK,"Apply every 3-4 weeks during growing season."
35,Epsom Salt,healthy,pepper,1 tbsp/gallon,"Magnesium source. Prevents leaf yellowing.",OK,"Completely safe. Foliar spray or soil drench."
